#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -i 100 -n 100 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.164227;100;0.994952 0.0371475 0.0932219 -0.309138 -0.0338805 0.998763 -0.0363872 0.183909 -0.0944583 0.0330451 0.99498 0.224801 0 0 0 1 
1807261650001;0.370505;0.147877;100;0.972389 0.115004 0.203061 -0.0908524 -0.154683 0.96916 0.191837 0.420904 -0.174737 -0.217951 0.96019 0.867778 0 0 0 1 
1807261650002;0.611698;0.196608;100;0.999957 0.00716243 -0.00583158 0.141705 -0.00728023 0.999765 -0.0204359 -0.691628 0.00568383 0.0204775 0.999774 0.555443 0 0 0 1 
1807261650003;0.65444;0.159412;100;0.953832 0.295703 -0.0525786 0.415235 -0.2915 0.953621 0.0750595 1.11301 0.0723354 -0.0562675 0.995792 -0.982868 0 0 0 1 
1807261650004;0.70178;0.160521;100;0.908107 0.379038 0.177968 0.104597 -0.350841 0.920733 -0.17077 1.48786 -0.228589 0.092639 0.969105 1.40054 0 0 0 1 
1807261650005;0.564667;0.136155;100;0.990947 -0.134219 0.00300904 0.0432553 0.134243 0.990895 -0.0102419 -0.124424 -0.00160699 0.0105531 0.999943 0.737982 0 0 0 1 
1807261650006;0.456118;0.0452273;100;0.995954 -0.0631271 -0.0639597 -0.365607 0.0527709 0.986918 -0.152343 0.118892 0.0727399 0.148352 0.986256 -0.688817 0 0 0 1 
1807261650007;0.0911852;0.0473106;100;0.997207 0.0149579 0.0731772 -0.127875 -0.0164103 0.999679 0.019287 0.0313017 -0.0728653 -0.020434 0.997132 0.296602 0 0 0 1 
1807261650008;0.628711;0.283949;100;0.957064 -0.0629689 0.282954 0.587271 0.0246722 0.990274 0.136926 -0.398021 -0.288824 -0.124066 0.94931 0.739444 0 0 0 1 
1807261650009;0.268333;0.142028;100;0.97617 -0.216815 -0.00916672 -0.132721 0.216888 0.976164 0.00801053 -0.748459 0.00721142 -0.00980779 0.999926 -0.114046 0 0 0 1 
1807261650010;0.71038;0.260885;100;0.949666 0.313149 0.00854328 0.0764902 -0.313175 0.949694 0.00184282 0.908962 -0.00753642 -0.0044256 0.999962 -0.869892 0 0 0 1 
1807261650011;0.818748;0.168506;100;0.905245 0.424866 -0.00455013 0.124736 -0.424874 0.905252 -0.000904336 1.62556 0.0037348 0.00275188 0.999989 -0.880454 0 0 0 1 
1807261650012;0.646177;0.0458168;100;0.999958 -0.0061079 0.00690454 0.177186 0.00636987 0.999235 -0.0385794 -0.684443 -0.00666363 0.0386217 0.999232 -0.689514 0 0 0 1 
1807261650013;0.5425;0.0522573;100;0.98884 0.0247868 -0.146902 -0.091819 -0.0299631 0.999002 -0.0331289 -0.232024 0.145934 0.0371608 0.988596 -1.2102 0 0 0 1 
1807261650014;0.402811;0.140366;100;0.945944 0.187637 -0.26454 0.337029 -0.156235 0.978407 0.135313 0.420919 0.284218 -0.0866682 0.954834 -1.4072 0 0 0 1 
1807261650015;0.62098;0.142386;100;0.896058 -0.40055 0.191414 0.183345 0.396701 0.916001 0.0597518 -1.13157 -0.199269 0.0223932 0.979689 1.28336 0 0 0 1 
1807261650016;0.314215;0.163807;100;0.991225 0.121757 -0.0514551 -0.103335 -0.119425 0.991767 0.0462088 0.539765 0.0566578 -0.0396583 0.997606 -0.0115261 0 0 0 1 
1807261650017;0.544853;0.163405;100;0.951734 0.099835 -0.290234 0.199933 -0.198396 0.921615 -0.333562 0.808965 0.234183 0.375044 0.896939 -1.0784 0 0 0 1 
1807261650018;0.870541;0.159695;100;0.884087 0.451007 0.122404 0.162358 -0.442593 0.892148 -0.0904651 1.99455 -0.150003 0.0258037 0.988349 1.23243 0 0 0 1 
1807261650019;0.408282;0.164689;100;0.969408 0.245353 -0.00707732 -0.277868 -0.245346 0.969434 0.0018043 0.639482 0.00730368 -1.27085e-05 0.999973 0.299933 0 0 0 1 
1807261650020;0.378251;0.145095;100;0.965764 0.00254053 -0.259411 0.0535014 -0.0972812 0.930531 -0.353056 0.315624 0.240493 0.366205 0.89892 -0.906878 0 0 0 1 
1807261650021;0.0584465;0.152498;100;0.999296 0.0256512 -0.027372 -0.0546025 -0.0254815 0.999654 0.00653031 -0.14323 0.02753 -0.00582823 0.999604 -0.0686232 0 0 0 1 
1807261650022;0.492617;0.126325;100;0.977041 -0.132122 -0.167138 0.108082 0.118637 0.989005 -0.0882854 -0.322896 0.176964 0.0664297 0.981973 -1.17083 0 0 0 1 
1807261650023;0.436303;0.25723;100;0.949378 0.312834 0.0285587 -0.0199566 -0.313546 0.94924 0.0251682 1.04689 -0.0192356 -0.0328486 0.999275 0.157624 0 0 0 1 
1807261650024;0.611538;0.197626;100;0.995973 -0.0142991 0.0885027 0.0678808 0.0209827 0.996959 -0.0750558 0.336438 -0.0871603 0.0766106 0.993244 -0.389863 0 0 0 1 
1807261650025;0.222007;0.146099;100;0.986343 -0.145077 -0.0779822 -0.295443 0.133239 0.98114 -0.140042 -0.559367 0.0968283 0.12774 0.98707 -0.147051 0 0 0 1 
1807261650026;0.125003;0.0515059;100;0.997288 -0.0263553 -0.0687178 -0.194475 0.0184782 0.993441 -0.112843 -0.0668823 0.071241 0.111267 0.991234 -0.127451 0 0 0 1 
