#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
27844314100032;1.35252;0.897034;16;0.94997 0.0491554 -0.30845 -1.15434 0.0455314 0.955196 0.292451 1.59548 0.309005 -0.291864 0.905169 6.21883 0 0 0 1 
27844314100033;0.908498;0.498652;16;0.974334 0.0150831 -0.224603 -0.911296 0.0381493 0.972257 0.230784 1.195 0.221852 -0.233429 0.946727 4.97522 0 0 0 1 
27844314100034;0.315932;0.262249;13;0.999905 0.0127183 0.00526346 -0.113618 -0.0128043 0.999779 0.0166466 -0.196716 -0.00505059 -0.0167124 0.999848 -0.162246 0 0 0 1 
27844314100035;0.38412;0.163534;14;0.999554 -0.0053833 -0.0293569 0.055626 0.00401977 0.998919 -0.0463093 -0.107396 0.0295745 0.0461706 0.998496 -0.474601 0 0 0 1 
27844314100036;0.255516;0.144488;15;0.996748 0.0251837 0.0765465 -0.064813 -0.0377256 0.985217 0.167108 -0.119747 -0.0712065 -0.169452 0.982963 -0.14074 0 0 0 1 
27844314100037;0.704806;0.420166;15;0.999542 -0.0243383 0.0179809 0.244261 0.0266871 0.989119 -0.144678 -0.0969699 -0.014264 0.145091 0.989315 0.200152 0 0 0 1 
27844314100038;1.02577;0.616665;15;0.996307 0.0189245 0.0837455 0.0137916 -0.0161464 0.999301 -0.033726 0.102549 -0.0843252 0.0322493 0.995916 0.655938 0 0 0 1 
27844314100039;0.646323;0.212602;15;0.998186 -0.0164355 0.0579113 0.00791395 0.0281962 0.977604 -0.208553 -0.090825 -0.0531867 0.209808 0.976295 0.125465 0 0 0 1 
27844314100040;0.526776;0.375983;14;0.957413 0.00928917 0.288571 -0.276618 0.000743604 0.9994 -0.034638 -0.394732 -0.28872 0.0333775 0.956832 -4.02508 0 0 0 1 
27844314100041;0.240913;0.183742;14;0.986653 -0.0290694 -0.160219 -0.221325 0.0196773 0.99801 -0.0598987 0.0273209 0.161641 0.0559466 0.985262 1.88829 0 0 0 1 
27844314100042;1.10623;0.690615;15;0.99954 -0.0173938 -0.0248451 0.155228 0.0186689 0.99847 0.0520469 -0.313939 0.0239018 -0.0524867 0.998336 -0.870263 0 0 0 1 
27844314100043;0.537176;0.406884;16;0.950943 0.0310405 0.307805 -0.376324 -0.116512 0.957629 0.263385 -1.19708 -0.286587 -0.286327 0.914267 -3.39 0 0 0 1 
27844314100044;0.682374;0.3657;15;0.990742 -0.0168966 0.134704 0.321581 0.0352484 0.990213 -0.135043 0.094413 -0.131104 0.138541 0.981641 -1.07971 0 0 0 1 
27844314100045;0.577329;0.319243;14;0.99659 -0.0191401 -0.0802606 -0.0258465 0.015309 0.998726 -0.0480808 0.307382 0.0810786 0.0466881 0.995614 -0.0384882 0 0 0 1 
27844314100046;0.842689;0.527127;16;0.978307 0.0276457 -0.205307 -0.837833 0.00146543 0.990107 0.140306 -0.239907 0.207155 -0.137563 0.968588 3.48072 0 0 0 1 
27844314100047;0.331521;0.31077;13;0.999705 0.00642149 0.0234167 -0.0309 -0.00577274 0.999601 -0.0276679 -0.0211425 -0.023585 0.0275246 0.999343 -0.263443 0 0 0 1 
27844314100048;0.326512;0.21596;14;0.999701 -0.00579847 0.0237527 0.160873 0.00720746 0.998192 -0.0596697 -0.00480494 -0.0233638 0.0598231 0.997936 -0.0583162 0 0 0 1 
27844314100049;0.286094;0.165419;15;0.987112 0.00692716 -0.159882 -0.397021 -0.00129533 0.999376 0.0353024 -0.0188012 0.160026 -0.0346403 0.986505 1.62436 0 0 0 1 
27844314100050;1.23172;0.804841;15;0.99979 0.00811475 -0.0188253 -0.252963 -0.0077893 0.99982 0.0172973 0.393413 0.0189623 -0.017147 0.999673 1.83001 0 0 0 1 
27844314100051;0.428034;0.16261;14;0.99973 -0.00227229 -0.0231436 -0.0308705 0.00187592 0.999851 -0.0171338 -0.0213337 0.0231791 0.0170858 0.999585 1.11257 0 0 0 1 
27844314100052;1.33827;0.845139;15;0.999448 -0.0150023 -0.0296566 0.337693 0.0184202 0.992776 0.118561 -0.214704 0.0276637 -0.119041 0.992504 -1.02038 0 0 0 1 
27844314100053;1.32669;0.658222;17;0.970459 -0.00438913 0.241227 0.203897 -0.0329027 0.988086 0.150347 -0.59808 -0.239012 -0.153842 0.958752 -0.30633 0 0 0 1 
27844314100054;0.560805;0.168824;15;0.990635 -0.00353321 0.136491 0.025651 -0.00360282 0.998641 0.0519995 -0.322254 -0.13649 -0.0520043 0.989276 -0.419359 0 0 0 1 
