#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
39885980090032;0.490152;0.713391;22;0.90904 -0.404051 -0.101921 0.296979 0.402618 0.914692 -0.0351902 -0.809664 0.107445 -0.00904598 0.99417 -0.330291 0 0 0 1 
39885980090033;0.259006;0.529208;21;0.937254 -0.269104 -0.221671 0.40372 0.267778 0.962785 -0.0366004 -0.295974 0.223271 -0.0250548 0.974434 -0.712454 0 0 0 1 
39885980090034;0.13399;0.518822;19;0.994431 -0.0771526 -0.0717988 0.408847 0.0681739 0.990424 -0.120052 0.209751 0.0803736 0.114489 0.990168 -0.145223 0 0 0 1 
39885980090035;0.310003;0.44052;34;0.985959 -0.165868 -0.0193066 0.205644 0.154336 0.949292 -0.273906 -0.0295115 0.0637597 0.26708 0.961563 0.302676 0 0 0 1 
39885980090036;0.791909;0.425401;23;0.887606 -0.0414884 -0.458731 1.6857 0.0974762 0.990297 0.0990441 -0.0766581 0.450171 -0.132628 0.883038 -1.89819 0 0 0 1 
39885980090037;0.326129;0.534964;16;0.999633 0.0224184 -0.0152068 0.24662 -0.0236909 0.995711 -0.0894337 0.440379 0.0131366 0.0897612 0.995877 0.311326 0 0 0 1 
39885980090038;0.582863;0.629641;15;0.999565 0.0270837 -0.0116432 0.107846 -0.0280364 0.995416 -0.0914425 0.138264 0.00911327 0.0917292 0.995742 -0.0205666 0 0 0 1 
39885980090039;0.172583;0.394446;18;0.996858 -0.0713514 -0.0343886 0.106413 0.067968 0.993515 -0.0911444 0.199656 0.0406689 0.0885208 0.995244 0.153567 0 0 0 1 
39885980090040;0.259945;0.368396;18;0.998742 -0.00847386 0.0494235 0.406535 0.00132728 0.98974 0.142874 0.537106 -0.0501271 -0.142628 0.988506 -0.128502 0 0 0 1 
39885980090041;0.477445;0.676669;21;0.981992 -0.173533 0.0746834 0.337774 0.176371 0.983764 -0.0331949 -0.427635 -0.0677104 0.045769 0.996655 -0.0143882 0 0 0 1 
39885980090042;0.418217;0.532263;46;0.987264 -0.157807 0.0201828 -0.0167356 0.157974 0.987419 -0.00697735 0.335962 -0.0188278 0.0100768 0.999772 0.321067 0 0 0 1 
39885980090043;0.341309;0.488551;21;0.969786 -0.200162 -0.139464 0.288598 0.224739 0.955407 0.191543 -0.498757 0.094905 -0.217099 0.971525 -0.697792 0 0 0 1 
39885980090044;0.352045;0.474781;20;0.928223 -0.193158 0.31795 0.202617 0.144973 0.974891 0.169025 -0.127657 -0.342615 -0.110799 0.932919 0.546463 0 0 0 1 
39885980090045;0.207777;0.467557;21;0.962894 -0.214972 0.163163 0.121367 0.222575 0.974465 -0.0296252 -0.280328 -0.152628 0.0648419 0.986154 0.540494 0 0 0 1 
39885980090046;0.379302;0.430147;20;0.94404 -0.0329413 0.328182 0.321277 0.111243 0.968499 -0.222787 0.0481826 -0.310505 0.246828 0.917967 1.0532 0 0 0 1 
39885980090047;0.227046;0.403978;19;0.979425 -0.00334029 0.201779 0.4566 -0.000203335 0.999846 0.0175386 0.312556 -0.201807 -0.0172188 0.979274 0.239918 0 0 0 1 
39885980090048;0.266999;0.396032;19;0.992835 0.0173045 0.118233 0.572469 0.0147003 0.964254 -0.264571 0.30328 -0.118585 0.264413 0.957091 1.05158 0 0 0 1 
39885980090049;0.523967;0.383502;19;0.958752 -0.0407122 0.281313 0.704104 -0.0155485 0.980696 0.19492 0.272979 -0.283818 -0.191254 0.939611 1.04036 0 0 0 1 
39885980090050;0.207409;0.496513;18;0.994715 -0.0948031 -0.0394355 0.348944 0.0921543 0.993667 -0.0642937 -0.08068 0.045281 0.0603197 0.997152 0.00687949 0 0 0 1 
39885980090051;0.499446;0.383195;20;0.996016 0.033044 0.0828298 0.772971 -0.0141362 0.975575 -0.21921 0.653095 -0.0880503 0.217165 0.972156 0.0691004 0 0 0 1 
39885980090052;0.316512;0.389803;19;0.994844 0.0313184 0.0964622 0.231306 -0.00944649 0.975606 -0.219326 0.590978 -0.100978 0.217284 0.970871 0.367333 0 0 0 1 
39885980090053;0.450592;0.42492;20;0.990507 -0.135332 0.0240958 0.170732 0.137181 0.984367 -0.110464 0.175289 -0.00876974 0.112721 0.993588 -0.391277 0 0 0 1 
39885980090054;0.48513;0.581799;20;0.961787 -0.264794 -0.0696451 0.212708 0.273129 0.910081 0.311694 -0.520145 -0.019152 -0.318805 0.947627 -0.626886 0 0 0 1 
39885980090055;0.127893;0.470402;20;0.978776 -0.200037 -0.0445332 0.324973 0.193126 0.973037 -0.126103 -0.151057 0.0685576 0.114826 0.991017 0.100717 0 0 0 1 
39885980090056;0.526201;0.693439;21;0.963245 -0.268586 -0.00446168 0.591444 0.267862 0.959132 0.0911899 -0.156255 -0.020213 -0.0890333 0.995824 0.493114 0 0 0 1 
39885980090057;0.593626;0.404871;23;0.964238 -0.0346308 -0.262766 1.06532 0.109955 0.954351 0.277711 -0.044075 0.241154 -0.296672 0.92403 -0.74738 0 0 0 1 
39885980090058;0.12749;0.431671;20;0.984434 -0.0176638 -0.174864 0.47869 0.0011935 0.995586 -0.0938495 0.389768 0.17575 0.09218 0.98011 -0.283743 0 0 0 1 
39885980090059;0.597495;0.437139;17;0.930398 -0.109588 -0.349787 0.271767 0.0124605 0.963167 -0.268616 0.147361 0.36634 0.245561 0.897493 0.251531 0 0 0 1 
39885980090060;0.466612;0.438125;21;0.941924 -0.335136 0.0215017 0.0461226 0.328388 0.905774 -0.267835 -0.485072 0.0702856 0.259341 0.963225 0.765094 0 0 0 1 
39885980090062;0.722072;0.614791;14;0.987932 -0.0156791 -0.15409 -0.0337305 0.021136 0.999204 0.0338397 -0.0550083 0.153436 -0.0366882 0.987477 -0.298712 0 0 0 1 
39885980090063;0.21414;0.0671814;16;0.998077 0.0362751 0.0502704 -0.0422391 -0.0136366 0.919528 -0.392788 0.148626 -0.0604734 0.391347 0.918254 -0.324602 0 0 0 1 
39885980090064;0.937509;0.471281;17;0.999406 -0.0098137 0.0330389 -0.18517 0.0157828 0.982502 -0.185584 -0.122491 -0.0306395 0.185995 0.982073 -0.673089 0 0 0 1 
39885980090065;0.614008;0.3358;17;0.942568 0.11111 0.314993 -0.197692 -0.0171624 0.957915 -0.286537 0.229275 -0.333574 0.264675 0.904807 0.461778 0 0 0 1 
39885980090066;0.857809;0.156527;22;0.998696 -0.0200834 0.0469374 0.0920112 0.0244098 0.99532 -0.0934982 -0.472818 -0.04484 0.094522 0.994512 0.604866 0 0 0 1 
39885980090067;0.711929;0.669766;14;0.993411 -0.00299671 -0.114571 0.0474033 -0.012479 0.990887 -0.134119 0.0470635 0.113929 0.134665 0.98432 -0.590447 0 0 0 1 
39885980090068;0.589386;0.162678;14;0.999774 -0.0211717 -0.00215867 0.0384111 0.0211829 0.999762 0.00527404 -0.063633 0.0020465 -0.00531858 0.999984 0.473166 0 0 0 1 
39885980090069;0.410197;0.196084;14;0.998925 -0.00695087 -0.0458266 0.0647359 0.00772468 0.99983 0.0167301 -0.034777 0.0457025 -0.0170661 0.998809 -0.359624 0 0 0 1 
39885980090070;0.483885;0.133744;16;0.938308 0.0493475 0.342261 -0.0759313 -0.0627395 0.997633 0.0281608 0.0850862 -0.340061 -0.0478968 0.939183 1.11386 0 0 0 1 
39885980090071;0.64931;0.610286;14;0.975858 -0.0506133 -0.21246 0.0765648 -0.023913 0.942169 -0.334284 0.121787 0.217093 0.331294 0.918213 -0.842631 0 0 0 1 
