#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
2318808360032;0.536016;0.0105037;37;0.929754 0.0477386 -0.365074 0.698502 -0.151901 0.952972 -0.262241 2.75624 0.335386 0.299275 0.893281 -6.04547 0 0 0 1 
2318808360033;0.38485;0.00814114;26;0.988327 0.146788 0.0407802 -1.37617 -0.146476 0.989158 -0.010552 1.20073 -0.0418869 0.00445547 0.999112 -0.378569 0 0 0 1 
2318808360034;0.495664;0.367604;13;0.997697 0.0676383 0.00517126 -0.580911 -0.0674569 0.997284 -0.029581 0.976077 -0.00715802 0.029164 0.999549 -0.726724 0 0 0 1 
2318808360035;0.329409;0.0122346;21;0.993488 0.105218 -0.0437139 -0.82303 -0.105528 0.994405 -0.00483192 1.10593 0.0429609 0.00941348 0.999032 -0.995856 0 0 0 1 
2318808360036;0.430313;0.0117286;41;0.907024 0.243112 -0.343808 -1.1836 -0.232051 0.969911 0.0736477 1.96659 0.351368 0.0129808 0.936147 -3.03286 0 0 0 1 
2318808360037;0.120765;0.0137917;21;0.994278 0.0130158 -0.106024 0.000853288 -0.0256624 0.992586 -0.118806 0.479007 0.103692 0.120847 0.987241 -2.11623 0 0 0 1 
2318808360038;0.516165;0.0120218;29;0.975721 -0.185301 0.116756 1.81574 0.183261 0.982663 0.0280742 -2.00549 -0.119934 -0.0059957 0.992764 1.73276 0 0 0 1 
2318808360039;0.413132;0.0131429;26;0.972366 -0.128039 0.195218 1.08968 0.12179 0.991592 0.0437316 -0.573721 -0.199176 -0.0187475 0.979784 2.3136 0 0 0 1 
2318808360040;0.306491;0.0124486;25;0.989858 0.114791 -0.0836909 -0.782812 -0.100823 0.982696 0.155381 0.824608 0.100079 -0.145367 0.984303 0.353788 0 0 0 1 
2318808360041;0.475776;0.0108615;49;0.876481 -0.481425 -0.00337503 6.37458 0.480748 0.875579 -0.0473575 -2.6014 0.0257542 0.0398854 0.998872 -0.178783 0 0 0 1 
2318808360042;0.392346;0.00864685;21;0.994225 0.046068 0.0969233 -0.590389 -0.0457356 0.998938 -0.00564947 0.409887 -0.0970806 0.00118401 0.995276 1.56084 0 0 0 1 
2318808360043;0.212163;0.00589083;27;0.991959 0.0622295 -0.1102 -0.449589 -0.0338871 0.969565 0.242476 0.273217 0.121935 -0.236792 0.963878 1.64847 0 0 0 1 
2318808360044;0.216595;0.0119973;25;0.988994 0.117005 -0.0905532 -1.36439 -0.11059 0.991189 0.0728966 0.668226 0.0982846 -0.06208 0.99322 0.0101814 0 0 0 1 
