#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
1807261650032;0.361529;0.249293;15;0.974916 0.000968347 -0.22257 0.0367546 -0.040731 0.98388 -0.174132 0.131225 0.218813 0.17883 0.95924 0.285381 0 0 0 1 
1807261650033;0.495733;0.487312;13;0.998941 0.00185654 0.0459678 -0.00150527 -0.00180284 0.999998 -0.00120982 0.0220544 -0.04597 0.00112567 0.998942 0.0346554 0 0 0 1 
1807261650034;1.09057;0.886044;28;0.992102 0.120399 -0.0351701 0.660141 -0.122323 0.990738 -0.0589465 0.673239 0.0277473 0.0627831 0.997641 0.723072 0 0 0 1 
1807261650035;0.885672;0.873808;16;0.990345 0.0643036 -0.122808 0.24346 -0.0458451 0.987982 0.147616 0.237536 0.130824 -0.14056 0.981391 -0.0879271 0 0 0 1 
1807261650036;0.893017;0.263914;15;0.985966 0.0645247 0.153973 0.206571 -0.0771941 0.993978 0.0777717 0.261989 -0.148027 -0.088566 0.98501 0.713429 0 0 0 1 
1807261650037;0.513994;0.384674;19;0.999908 0.0082655 0.0107735 0.146574 -0.00908906 0.99685 0.0787815 0.189954 -0.0100884 -0.0788722 0.996834 -0.50112 0 0 0 1 
1807261650038;0.984234;0.441265;18;0.920931 0.0304906 0.388531 -0.155931 -0.0110712 0.998579 -0.052123 0.393861 -0.389568 0.0437002 0.91996 -0.235418 0 0 0 1 
1807261650039;0.787771;0.296883;17;0.986745 0.0585298 0.151355 0.0887973 -0.0370247 0.989291 -0.141185 0.315587 -0.157998 0.13371 0.978345 -0.136421 0 0 0 1 
1807261650040;0.449489;0.132159;15;0.97229 0.000198685 0.233779 -0.0110547 -0.00761609 0.999496 0.030826 0.100712 -0.233655 -0.0317523 0.971801 0.549836 0 0 0 1 
1807261650041;0.636202;0.252512;37;0.99941 0.0335756 -0.00730141 0.334079 -0.033571 0.999436 0.000746061 0.533785 0.00732234 -0.000500505 0.999973 -0.324106 0 0 0 1 
1807261650042;0.394001;0.305237;14;0.999821 -0.0164694 -0.00933518 -0.132132 0.0163183 0.999738 -0.0160467 0.0806168 0.00959702 0.0158915 0.999828 0.0822049 0 0 0 1 
1807261650043;0.493104;0.218654;15;0.967164 0.063711 0.246037 0.185229 -0.0641258 0.997922 -0.00633404 0.330196 -0.245929 -0.00965127 0.96924 0.283447 0 0 0 1 
1807261650044;0.603128;0.368742;18;0.999649 0.0146176 -0.022075 -0.139468 -0.0145049 0.999881 0.00525746 0.134731 0.0221492 -0.00493542 0.999742 -0.430437 0 0 0 1 
1807261650045;0.822026;0.370542;16;0.994552 -0.0185536 -0.102576 0.031483 0.056969 0.920821 0.385803 -0.327088 0.0872959 -0.389545 0.916861 -1.85449 0 0 0 1 
1807261650046;0.726796;0.997904;32;0.998692 -0.0448844 -0.0244796 -0.234329 0.0414497 0.991131 -0.12626 0.595237 0.0299296 0.12508 0.991695 0.797804 0 0 0 1 
1807261650047;0.841796;0.496236;15;0.998213 0.00354192 -0.0596538 -0.0179257 -0.00444893 0.999876 -0.0150786 0.126137 0.059593 0.015317 0.998105 0.640087 0 0 0 1 
1807261650048;0.923373;0.117558;15;0.983152 0.0323234 0.179907 0.137491 -0.0676962 0.97864 0.194116 0.261689 -0.169789 -0.203024 0.964341 0.416466 0 0 0 1 
1807261650049;0.894299;0.707355;15;0.96781 -0.00437474 0.251643 -0.0151585 -0.0211059 0.994916 0.098469 0.0660109 -0.250794 -0.10061 0.962798 0.508085 0 0 0 1 
1807261650050;0.776112;1.11753;39;0.986467 0.103347 0.127289 0.181645 -0.0652486 0.959659 -0.273492 1.16756 -0.150419 0.261485 0.953415 1.26329 0 0 0 1 
1807261650051;0.472646;1.01515;29;0.975935 0.146257 0.161742 0.460764 -0.145383 0.989224 -0.0172926 0.966787 -0.162528 -0.00663814 0.986682 0.504231 0 0 0 1 
1807261650052;0.367213;0.305589;15;0.999182 0.00503202 0.0401303 0.00838304 -0.0130079 0.979493 0.201056 -0.0220325 -0.0382956 -0.201413 0.978757 -0.419651 0 0 0 1 
1807261650053;0.543637;0.19313;15;0.910093 -0.0270404 -0.413521 0.113638 -0.0719573 0.972399 -0.221952 0.315579 0.408109 0.231753 0.883027 0.301702 0 0 0 1 
1807261650054;0.296591;0.779198;42;0.993333 -0.0342943 -0.110062 -0.0671326 0.0141021 0.983704 -0.179239 0.70765 0.114415 0.176492 0.97763 0.224651 0 0 0 1 
1807261650055;0.546573;0.90895;26;0.969154 0.0996429 -0.225415 0.223046 -0.017248 0.939805 0.341277 0.67261 0.245852 -0.326862 0.912534 -0.875631 0 0 0 1 
1807261650056;0.638977;0.0903528;24;0.99811 0.047023 -0.0395672 -0.0446885 -0.0487335 0.997867 -0.043438 0.497708 0.0374402 0.0452842 0.998272 0.381327 0 0 0 1 
1807261650057;0.733154;1.14683;39;0.997111 0.0677517 -0.0343384 -0.0613354 -0.0731982 0.977828 -0.196202 1.2919 0.020284 0.198149 0.979962 0.490722 0 0 0 1 
1807261650058;1.00454;0.860952;26;0.972973 0.0806357 -0.216382 0.477863 -0.0693121 0.995823 0.0594324 0.620151 0.220271 -0.0428283 0.974498 -0.0461028 0 0 0 1 
1807261650059;0.328863;0.252612;18;0.960241 -0.0881338 0.264896 -0.277361 -0.02611 0.916349 0.399527 -0.0938231 -0.277949 -0.390559 0.877615 -0.705237 0 0 0 1 
1807261650060;0.479524;0.400985;14;0.999877 0.0156557 0.000276807 0.014478 -0.0156355 0.999224 -0.0361504 0.0632241 -0.000842553 0.0361417 0.999346 -0.0816004 0 0 0 1 
1807261650062;0.610394;0.159244;23;0.994354 0.0996337 -0.036507 0.388827 -0.101242 0.993833 -0.0452422 0.297477 0.0317742 0.0486828 0.998309 -0.601178 0 0 0 1 
1807261650063;0.0702684;0.133621;17;0.999485 0.00708763 0.0312883 -0.0617356 -0.00603678 0.999419 -0.0335538 0.156566 -0.0315079 0.0333477 0.998947 0.0824502 0 0 0 1 
1807261650064;0.431381;0.172006;19;0.973146 -0.126693 -0.192185 -0.439085 0.111572 0.989887 -0.087606 -0.0869405 0.201341 0.0638111 0.977441 -0.301624 0 0 0 1 
1807261650065;0.67345;0.217333;20;0.984458 0.0369846 -0.171681 0.112964 0.0406308 0.903086 0.427534 0.328355 0.170855 -0.427865 0.887547 -1.8354 0 0 0 1 
1807261650066;0.179936;0.18533;23;0.990589 -0.136448 -0.0107696 -0.678396 0.136133 0.990351 -0.0259173 0.135316 0.014202 0.0242073 0.999606 0.106119 0 0 0 1 
1807261650067;0.697139;0.331295;33;0.942706 -0.329232 -0.0539514 -1.19647 0.331953 0.941804 0.0530362 -0.103866 0.0333505 -0.0679068 0.997134 -0.964697 0 0 0 1 
1807261650068;0.609754;0.495654;35;0.953155 -0.301226 -0.0275229 -1.20339 0.301087 0.953553 -0.00916651 0.165345 0.0290058 0.000450302 0.999579 0.114256 0 0 0 1 
1807261650069;0.14606;0.173513;19;0.996654 -0.0712534 -0.0400581 -0.3707 0.0707292 0.997392 -0.0143572 0.174415 0.0409766 0.0114759 0.999094 -0.000981541 0 0 0 1 
1807261650070;0.531087;0.156489;20;0.981601 0.0818171 -0.172527 0.426067 -0.0168859 0.937203 0.348375 0.0983225 0.190196 -0.339052 0.921341 -1.86963 0 0 0 1 
1807261650071;0.140553;0.141327;18;0.992873 -0.00275484 -0.119149 -0.0229221 -0.00638995 0.997064 -0.0763008 0.302521 0.119009 0.0765183 0.98994 0.164561 0 0 0 1 
1807261650072;0.380476;0.341633;15;0.997004 0.022174 -0.0741033 0.212587 -0.027687 0.996858 -0.0742168 0.0938417 0.0722248 0.0760461 0.994485 0.0596611 0 0 0 1 
1807261650073;0.531138;0.231489;24;0.980917 -0.148471 0.125532 -0.45016 0.0986963 0.936521 0.336432 -0.247808 -0.167514 -0.317623 0.933303 -0.752687 0 0 0 1 
1807261650074;0.56209;0.137834;23;0.946734 0.200709 0.251813 0.695668 -0.18756 0.979352 -0.0754353 0.795813 -0.261754 0.0241872 0.964832 0.429761 0 0 0 1 
1807261650075;0.57785;0.153116;24;0.999231 -0.0390987 -0.00293141 -0.19694 0.0390754 0.999207 -0.00762269 0.717642 0.00322712 0.00750228 0.999967 -0.437372 0 0 0 1 
1807261650076;0.523862;0.186046;23;0.97907 -0.186749 -0.0809093 -0.91585 0.169811 0.968704 -0.181047 0.379637 0.112187 0.163518 0.980141 1.03876 0 0 0 1 
1807261650077;0.611234;0.480497;17;0.999164 -0.00225267 0.0408201 -0.00789904 0.0109414 0.976792 -0.213911 -0.29581 -0.0393908 0.214179 0.976 0.494135 0 0 0 1 
1807261650078;0.330727;0.128006;23;0.950162 0.043777 -0.308668 0.328148 -0.0307893 0.998428 0.0468251 0.202861 0.310232 -0.0349877 0.950017 0.0606692 0 0 0 1 
1807261650079;0.421945;0.306606;22;0.914786 -0.145395 -0.376864 -0.45679 0.0975414 0.984875 -0.1432 -0.198293 0.391984 0.0942376 0.915132 0.56101 0 0 0 1 
1807261650080;0.560936;0.237845;28;0.962851 0.195605 -0.186162 1.05364 -0.251097 0.902167 -0.350776 0.344971 0.0993354 0.38449 0.917769 1.2895 0 0 0 1 
1807261650081;0.503671;0.133184;21;0.982861 0.105237 0.15136 0.335087 -0.127652 0.980875 0.146935 0.106574 -0.133002 -0.163738 0.977497 -1.24692 0 0 0 1 
1807261650082;0.722741;0.348384;22;0.992615 0.121282 0.00248031 0.665156 -0.120583 0.988711 -0.0889411 0.106728 -0.0132392 0.0879852 0.996034 -0.460167 0 0 0 1 
1807261650083;0.552134;0.249778;20;0.998542 -0.0413662 -0.0346746 -0.00133628 0.0384525 0.995984 -0.0808541 -0.31018 0.0378799 0.0794029 0.996123 0.020512 0 0 0 1 
1807261650084;0.867721;0.182469;36;0.924514 0.368805 -0.0962111 2.28242 -0.347321 0.919145 0.185852 0.40119 0.156975 -0.138407 0.977856 -0.90931 0 0 0 1 
1807261650085;0.404997;0.15365;23;0.978503 -0.150717 -0.14077 -0.618919 0.0842658 0.915188 -0.39412 -0.0572895 0.188231 0.373785 0.908215 1.04123 0 0 0 1 
1807261650086;0.258185;0.172619;18;0.99788 -0.0637004 0.0133128 -0.209309 0.0646773 0.993411 -0.094607 0.19835 -0.00719858 0.0952675 0.995426 0.593243 0 0 0 1 
1807261650087;0.211815;0.174618;20;0.991359 0.126645 0.0341789 0.568627 -0.123178 0.988348 -0.089416 0.203221 -0.0451048 0.0844333 0.995408 0.35661 0 0 0 1 
1807261650088;0.669831;0.253992;32;0.953647 -0.300784 -0.00924505 -1.27895 0.281745 0.903232 -0.323714 0.120455 0.105719 0.306104 0.94611 0.600995 0 0 0 1 
1807261650089;0.143654;0.16018;16;0.992476 0.0518434 0.110921 0.11361 -0.056776 0.997512 0.0417806 0.0649368 -0.108479 -0.0477639 0.992951 -0.0692004 0 0 0 1 
1807261650090;0.732491;0.40623;23;0.994689 0.0746451 -0.07087 0.220545 -0.0829095 0.989072 -0.121909 0.847181 0.0609956 0.127138 0.990008 0.558935 0 0 0 1 
1807261650091;0.403612;0.11584;27;0.986001 0.151177 -0.070345 0.690243 -0.124204 0.947372 0.29506 -0.00249825 0.111249 -0.282192 0.952886 -0.813287 0 0 0 1 
1807261650093;1.16071;0.315406;20;0.878314 0.303983 0.368996 -0.402826 -0.298082 0.951633 -0.0744469 0.189223 -0.37378 -0.0446033 0.926444 -0.228965 0 0 0 1 
1807261650094;0.696816;0.372617;17;0.979184 0.202174 0.0179883 -0.139626 -0.200814 0.977849 -0.0590277 -0.0268061 -0.0295237 0.0541867 0.998094 -0.0932036 0 0 0 1 
1807261650095;0.832378;0.279504;22;0.912857 0.117077 0.391134 0.367029 -0.131014 0.991339 0.00903566 0.269223 -0.386688 -0.0594921 0.92029 -0.0387038 0 0 0 1 
1807261650096;1.24922;0.363712;28;0.966365 0.230983 0.113074 0.084803 -0.167244 0.898445 -0.405988 -0.444227 -0.195367 0.373422 0.906856 0.713278 0 0 0 1 
1807261650097;1.57732;0.352673;19;0.953673 0.146563 0.262729 0.38029 -0.195647 0.965555 0.17154 0.0927216 -0.228538 -0.214995 0.949498 0.929394 0 0 0 1 
1807261650098;0.431654;0.320589;20;0.952035 -0.287329 0.105224 -0.00789195 0.294796 0.953432 -0.0637425 -0.24008 -0.0820088 0.0917047 0.992404 0.266766 0 0 0 1 
1807261650099;1.43162;0.434383;30;0.978327 -0.190654 0.0807928 0.691803 0.205923 0.936763 -0.282968 0.338909 -0.0217346 0.293473 0.95572 0.583365 0 0 0 1 
1807261650100;0.198846;0.192534;22;0.996415 -0.0431682 -0.0727602 0.141897 0.0507867 0.993032 0.106339 -0.163782 0.0676628 -0.109653 0.991664 -0.106143 0 0 0 1 
1807261650101;0.403364;0.2432;17;0.99008 -0.10145 0.0972133 0.138409 0.105159 0.993881 -0.0338056 -0.133438 -0.0931889 0.0436931 0.994689 -0.173365 0 0 0 1 
1807261650102;0.400187;0.276953;17;0.994144 -0.0595462 0.0901724 -0.140203 0.0621442 0.997721 -0.0262816 -0.159684 -0.0884019 0.0317314 0.995579 0.00243154 0 0 0 1 
1807261650103;1.02195;0.250584;18;0.952777 0.263046 0.151735 -0.022921 -0.279819 0.954602 0.102158 -0.208711 -0.117974 -0.139792 0.983128 0.537528 0 0 0 1 
1807261650104;1.18672;0.191876;26;0.999648 -0.0253592 -0.00778283 -0.0907795 0.0261447 0.991502 0.127437 -0.559254 0.00448501 -0.127595 0.991816 -0.643583 0 0 0 1 
1807261650105;1.18857;0.252881;19;0.995537 0.0756469 0.0564219 -0.493796 -0.0761608 0.997071 0.00701176 -0.464297 -0.0557262 -0.0112776 0.998382 0.068378 0 0 0 1 
