#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
26875431820032;0.537519;0.269052;24;0.961274 -0.209659 -0.178873 0.658902 0.21277 0.977101 -0.00183051 -0.820765 0.17516 -0.0362991 0.983871 -0.755084 0 0 0 1 
26875431820033;0.515263;0.0182255;30;0.997017 0.031602 -0.0704135 -0.14471 -0.0117841 0.963963 0.265776 -0.733262 0.076275 -0.264153 0.96146 -1.00479 0 0 0 1 
26875431820034;0.18246;0.0134602;20;0.994798 0.0186299 -0.100154 -0.219447 -0.0176453 0.999787 0.0107072 0.0687752 0.100332 -0.00888423 0.994914 -0.284834 0 0 0 1 
26875431820035;0.31218;0.00956176;42;0.938379 0.199954 0.281891 0.0471941 -0.237861 0.965384 0.107031 0.881895 -0.250732 -0.167487 0.953458 1.45561 0 0 0 1 
26875431820036;0.352511;0.00790634;38;0.958638 -0.271855 0.0843145 -0.00687168 0.28463 0.915547 -0.284183 -0.91279 6.25962e-05 0.296427 0.955056 -0.236284 0 0 0 1 
26875431820037;0.447509;0.00796589;24;0.996973 -0.0776918 -0.00292434 0.309251 0.0776975 0.996975 0.00187527 -0.783973 0.0027698 -0.0020968 0.999994 -0.790663 0 0 0 1 
26875431820038;0.350569;0.0103912;36;0.985145 -0.166206 -0.0431922 0.234186 0.142322 0.930961 -0.336239 -0.0745303 0.0960951 0.325097 0.940786 -0.868426 0 0 0 1 
26875431820039;0.337073;0.0127142;34;0.971702 -0.212187 0.103786 0.0364939 0.17616 0.94369 0.28003 -1.17716 -0.15736 -0.253823 0.954364 1.27147 0 0 0 1 
26875431820040;0.229197;0.0115135;30;0.982512 -0.184827 -0.0225625 0.217412 0.174958 0.957859 -0.227806 -0.48614 0.0637164 0.219875 0.973445 -0.360185 0 0 0 1 
26875431820041;0.10838;0.00934506;17;0.997853 0.0649354 0.0085292 -0.0707328 -0.0649168 0.997888 -0.00243181 0.187665 -0.00866909 0.0018729 0.999961 0.193196 0 0 0 1 
26875431820042;0.455772;0.012183;53;0.884196 -0.458058 0.0915395 0.717685 0.466836 0.87331 -0.139264 -2.529 -0.0161514 0.16587 0.986015 0.284551 0 0 0 1 
26875431820043;0.274946;0.00906027;29;0.977441 0.108086 0.181457 -0.180991 -0.130359 0.984698 0.115654 0.29441 -0.16618 -0.1367 0.976574 1.14109 0 0 0 1 
26875431820044;0.287192;0.011148;20;0.999125 0.00441553 0.0415945 0.0464162 -0.00402028 0.999946 -0.00958124 0.595585 -0.0416346 0.00940564 0.999089 0.287608 0 0 0 1 
26875431820045;0.572084;0.00899646;34;0.985561 0.0717995 -0.153347 0.69313 -0.00892983 0.926424 0.376375 -0.874542 0.169088 -0.369571 0.913688 -1.1425 0 0 0 1 
26875431820046;0.148614;0.00873555;25;0.997778 -0.0635347 -0.0200608 0.0355396 0.0662644 0.977653 0.199506 -0.567929 0.006937 -0.200392 0.979691 0.0619519 0 0 0 1 
26875431820047;0.191966;0.00897721;26;0.988732 0.149174 0.0124776 -0.0894014 -0.144987 0.975045 -0.168127 0.909359 -0.0372463 0.164423 0.985686 0.310446 0 0 0 1 
26875431820048;0.552949;0.00743744;48;0.901882 0.420675 0.0981874 -0.0448249 -0.40356 0.901574 -0.155895 2.09179 -0.154105 0.100975 0.982881 -0.0557548 0 0 0 1 
26875431820049;0.452544;0.0103802;50;0.894938 0.405206 0.186802 0.0604675 -0.404528 0.913491 -0.0434908 1.59154 -0.188264 -0.0366449 0.981435 1.26083 0 0 0 1 
26875431820050;0.381287;0.0091045;37;0.956107 0.237818 0.171175 -0.111035 -0.245249 0.969179 0.0233423 0.895038 -0.160348 -0.0642982 0.984964 1.30227 0 0 0 1 
26875431820051;0.357531;0.0101753;27;0.972301 -0.0734233 -0.2219 0.707971 0.0652864 0.996905 -0.0437948 -0.110415 0.224429 0.0280947 0.974085 -0.637076 0 0 0 1 
26875431820052;0.469273;0.0131398;33;0.963811 0.148919 -0.221113 0.505428 -0.208259 0.938389 -0.275778 1.91671 0.166421 0.311847 0.935444 -1.04914 0 0 0 1 
26875431820053;0.393672;0.0114608;28;0.992712 0.032419 0.116069 0.670286 -0.0510217 0.985621 0.161086 -0.0156092 -0.109178 -0.165834 0.980092 0.56087 0 0 0 1 
26875431820054;0.384531;0.0129323;34;0.931533 0.226518 -0.284493 0.695411 -0.149372 0.951604 0.268586 0.364343 0.331564 -0.207702 0.920285 -1.42128 0 0 0 1 
26875431820055;0.28566;0.0113533;28;0.980347 -0.189674 -0.0542539 0.459768 0.192022 0.980495 0.0419128 -1.1453 0.0452459 -0.051507 0.997647 0.119255 0 0 0 1 
26875431820056;0.596591;0.0109076;35;0.918883 -0.288461 0.269156 -0.0318563 0.332822 0.933101 -0.136208 -1.33316 -0.211859 0.21474 0.953416 0.0579231 0 0 0 1 
26875431820057;0.446113;0.00779009;50;0.916578 -0.398287 0.0353685 0.926032 0.396704 0.916874 0.0443597 -1.50121 -0.0500964 -0.0266283 0.998389 0.51183 0 0 0 1 
26875431820058;0.224686;0.00765495;19;0.99961 -0.0114475 -0.0254594 -0.120555 0.0135985 0.996203 0.085987 -0.214136 0.0243784 -0.0862997 0.995971 0.343603 0 0 0 1 
26875431820059;0.444316;0.00809683;28;0.953296 -0.1738 0.247024 -0.495733 0.176149 0.984281 0.0127379 -0.645342 -0.245355 0.03137 0.968926 0.774786 0 0 0 1 
26875431820060;0.410765;0.0115667;42;0.984921 0.0928209 0.145998 0.290833 -0.1402 0.922667 0.359206 0.380334 -0.101365 -0.374258 0.921768 1.20567 0 0 0 1 
26875431820062;0.368904;0.0125232;38;0.953192 0.18092 0.242266 0.445158 -0.230432 0.953426 0.194628 0.508668 -0.19577 -0.241344 0.950488 0.393298 0 0 0 1 
26875431820063;0.231158;0.00963505;30;0.956584 -0.0736201 -0.282006 0.427601 0.113571 0.985246 0.128032 -0.61259 0.26842 -0.154501 0.950831 -1.11326 0 0 0 1 
26875431820064;0.204838;0.0168591;22;0.997746 -0.0074158 0.0666938 0.0838257 -0.00172175 0.990719 0.135917 0.269038 -0.0670828 -0.135726 0.988473 0.111959 0 0 0 1 
26875431820065;0.171053;0.0171033;18;0.998326 0.0543114 0.0198909 -0.0710932 -0.0536152 0.997983 -0.0340024 -0.0467349 -0.0216974 0.032879 0.999224 0.0115872 0 0 0 1 
26875431820066;0.341828;0.0154771;40;0.885986 0.459503 -0.062335 0.902421 -0.456968 0.888019 0.0510061 1.88244 0.0787921 -0.0167055 0.996751 -0.312034 0 0 0 1 
26875431820067;0.359104;0.0133193;19;0.999743 0.0100428 -0.0203334 -0.209764 -0.00995727 0.999941 0.00430353 0.35826 0.0203754 -0.00409996 0.999784 0.604356 0 0 0 1 
26875431820068;0.231956;0.0117959;17;0.99974 -0.0227039 0.00198643 0.045632 0.0226903 0.999721 0.00661044 -0.129258 -0.00213596 -0.00656365 0.999976 0.526563 0 0 0 1 
26875431820069;0.168442;0.0191168;22;0.98418 -0.155873 0.0842182 0.0893267 0.158515 0.987024 -0.0256208 -0.778273 -0.0791318 0.0385654 0.996118 0.50542 0 0 0 1 
26875431820070;0.120851;0.0150471;21;0.987609 0.133589 -0.0823559 0.259122 -0.128373 0.989548 0.0656907 0.480755 0.0902707 -0.0543044 0.994436 -0.416204 0 0 0 1 
26875431820071;0.559761;0.0182411;37;0.939824 -0.341302 0.0156264 1.01341 0.341164 0.939941 0.0108552 -1.294 -0.0183928 -0.00487077 0.999819 0.431491 0 0 0 1 
26875431820072;0.11141;0.0155947;18;0.998533 -0.0540762 0.00279986 -0.143593 0.0541485 0.99709 -0.0536694 -0.320855 0.000110526 0.0537423 0.998555 0.00211391 0 0 0 1 
26875431820073;0.298534;0.0174841;32;0.952112 -0.305739 -0.00262729 0.272664 0.305751 0.952076 0.00823901 -1.55131 -1.76101e-05 -0.00864775 0.999963 0.176801 0 0 0 1 
26875431820074;0.511902;0.0153124;35;0.944679 -0.238474 -0.225195 0.839868 0.187444 0.955928 -0.225981 -0.682206 0.269161 0.171268 0.947745 -1.668 0 0 0 1 
26875431820075;0.368729;0.0166705;34;0.937816 -0.236515 0.254089 -0.189214 0.157174 0.941952 0.296688 -1.14958 -0.309511 -0.238303 0.920551 1.50065 0 0 0 1 
26875431820076;0.104083;0.0119558;17;0.999394 -0.0287918 -0.0195593 -0.015752 0.027106 0.996298 -0.0815806 0.0910093 0.0218357 0.081001 0.996475 0.0296255 0 0 0 1 
26875431820077;0.334061;0.0122312;31;0.958247 0.28168 -0.0491814 0.467708 -0.277503 0.957586 0.0776019 1.29975 0.0689544 -0.0607139 0.995771 -0.765774 0 0 0 1 
26875431820078;0.46154;0.0108854;29;0.965352 0.259606 0.0264481 -0.23712 -0.252544 0.954963 -0.15578 1.55178 -0.0656984 0.143704 0.987438 -0.0823395 0 0 0 1 
26875431820079;0.388175;0.0193159;35;0.885157 -0.214913 0.412686 -0.220524 0.13335 0.966905 0.217512 -0.936737 -0.445774 -0.137501 0.884522 1.7492 0 0 0 1 
26875431820080;0.446652;0.0151357;29;0.96908 0.246111 0.0177241 0.232351 -0.245652 0.969046 -0.0246096 1.22128 -0.0232321 0.0194947 0.99954 -0.668641 0 0 0 1 
