#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/apartment_local.txt /home/point_clouds_registration_benchmark//eth/apartment -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 20 -i 200 
id;initial_error;final_error;transformation
13001298760000;0.820981;1.69467;35;0.901711 -0.400182 0.163622 -0.281885 0.369581 0.909863 0.188573 -3.72399 -0.224337 -0.109567 0.968333 0.562075 0 0 0 1 
13001298760001;0.68771;1.50921;39;0.95753 -0.246295 -0.149916 0.539252 0.286093 0.876255 0.387721 -2.88421 0.0358707 -0.414144 0.909504 0.4811 0 0 0 1 
13001298760002;0.636186;1.23008;55;0.878373 0.475101 -0.0523469 0.842253 -0.428836 0.831695 0.35268 -0.346316 0.211095 -0.287336 0.934279 -1.20083 0 0 0 1 
13001298760003;0.411513;1.37192;34;0.954003 -0.29152 0.0699576 0.180119 0.28967 0.956468 0.0355074 -2.40611 -0.0772633 -0.0136095 0.996918 -0.118468 0 0 0 1 
13001298760004;0.857932;1.54897;34;0.909508 -0.387703 -0.149941 0.314856 0.37482 0.920848 -0.10747 -2.62741 0.179739 0.0415438 0.982837 0.39492 0 0 0 1 
13001298760005;0.460674;1.52018;35;0.927142 -0.373933 0.0241044 0.438244 0.369381 0.922875 0.1089 -2.83272 -0.0629668 -0.0920624 0.99376 0.459598 0 0 0 1 
13001298760006;0.655521;1.35448;58;0.794583 0.606697 0.0235936 0.591868 -0.607077 0.793251 0.0470115 0.893656 0.00980604 -0.0516777 0.998616 0.160506 0 0 0 1 
13001298760007;0.308888;0.464818;31;0.856909 0.324525 0.400487 -0.0102086 -0.406619 0.903078 0.138242 0.618015 -0.316808 -0.281307 0.905814 1.06408 0 0 0 1 
13001298760008;0.466988;0.609155;30;0.906483 0.407591 0.110269 -0.106761 -0.41255 0.910574 0.0256489 0.267157 -0.0899534 -0.0687416 0.993571 0.0210383 0 0 0 1 
13001298760009;0.423945;0.43084;31;0.951383 0.303582 0.0520456 -0.208904 -0.280663 0.924053 -0.259528 0.707254 -0.126881 0.232303 0.964332 0.0416933 0 0 0 1 
13001298760010;0.258498;1.2266;55;0.838915 0.540788 -0.0614033 0.946635 -0.543894 0.837149 -0.0579792 0.622409 0.0200492 0.0820365 0.996428 0.0606034 0 0 0 1 
13001298760011;0.784351;0.695824;30;0.971033 0.233992 0.0484092 -0.297354 -0.236685 0.914083 0.329292 -0.153956 0.0328017 -0.331211 0.942986 -0.741853 0 0 0 1 
13001298760012;0.622128;0.462591;28;0.962595 0.269746 -0.0254548 0.244431 -0.26883 0.962574 0.0343875 -0.227037 0.033778 -0.0262582 0.999084 0.194508 0 0 0 1 
13001298760013;0.398004;0.560189;30;0.849742 0.504936 0.151585 0.422977 -0.47838 0.859335 -0.18082 0.952796 -0.221565 0.081135 0.971764 0.97485 0 0 0 1 
