#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 20 -i 200 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.163015;34;0.995893 0.0187222 0.0885772 -0.151455 -0.0158321 0.999323 -0.0332193 0.0942204 -0.0891391 0.0316806 0.995515 0.202015 0 0 0 1 
1807261650001;0.370505;0.155592;46;0.972743 0.113505 0.202209 -0.0885605 -0.152911 0.969534 0.191371 0.398517 -0.174327 -0.217075 0.960463 0.867979 0 0 0 1 
1807261650002;0.611698;0.199843;38;0.999963 0.0078251 -0.00370143 0.135099 -0.00790338 0.999735 -0.0216301 -0.685231 0.00353119 0.0216585 0.999759 0.563762 0 0 0 1 
1807261650003;0.65444;0.240401;49;0.961077 0.270895 -0.0542831 0.319752 -0.266779 0.96102 0.0725885 0.937163 0.071831 -0.0552816 0.995884 -0.982142 0 0 0 1 
1807261650004;0.70178;0.266879;42;0.919221 0.349664 0.18102 -0.0162097 -0.323141 0.932627 -0.160582 1.24916 -0.224974 0.0891155 0.970281 1.37931 0 0 0 1 
1807261650005;0.564667;0.123347;44;0.991676 -0.128759 0.000671571 0.0665892 0.128758 0.9916 -0.0122487 -0.0957319 0.000911197 0.0122332 0.999925 0.727277 0 0 0 1 
1807261650006;0.456118;0.0886506;39;0.996633 -0.0463431 -0.0676444 -0.30299 0.0356594 0.987832 -0.151378 0.240098 0.0738367 0.148456 0.986159 -0.695434 0 0 0 1 
1807261650007;0.0911852;0.0440741;33;0.997346 0.0138424 0.0714784 -0.124985 -0.0150795 0.999745 0.0167969 0.0331312 -0.0712277 -0.0178302 0.997301 0.289862 0 0 0 1 
1807261650008;0.628711;0.283444;42;0.957675 -0.0628265 0.280912 0.579909 0.0251464 0.99042 0.135781 -0.388963 -0.286751 -0.12297 0.95008 0.734793 0 0 0 1 
1807261650009;0.268333;0.219019;41;0.984084 -0.177651 -0.00430796 -0.0291798 0.177634 0.984089 -0.00396766 -0.445988 0.00494427 0.00313927 0.999983 -0.100769 0 0 0 1 
1807261650010;0.71038;0.243038;45;0.94947 0.31363 0.0119777 0.0480694 -0.313695 0.949516 0.00395933 0.95688 -0.0101313 -0.00751662 0.99992 -0.857521 0 0 0 1 
