#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 100 
id;initial_error;final_error;transformation
36535719080032;0.49885;0.68704;13;0.998229 0.0586283 0.0100389 -0.981739 -0.0593119 0.993843 0.0935896 0.630633 -0.00449013 -0.0940193 0.99556 -0.37323 0 0 0 1 
36535719080033;0.471869;1.20661;26;0.975479 0.198864 0.0943037 -2.13288 -0.219186 0.916605 0.334354 0.829417 -0.0199481 -0.346826 0.937718 0.523138 0 0 0 1 
36535719080034;0.28376;0.662146;16;0.984826 0.0961644 -0.144468 -0.936829 -0.0831306 0.992123 0.0937077 0.736601 0.152341 -0.080276 0.985062 -0.69139 0 0 0 1 
36535719080035;0.587922;1.44321;24;0.987375 -0.104826 0.118756 -2.5122 0.113039 0.991485 -0.0646567 -0.045751 -0.110967 0.0772644 0.990816 -0.754147 0 0 0 1 
36535719080036;0.406933;0.605478;13;0.999417 0.0132985 0.0314559 -1.32088 -0.0131827 0.999906 -0.00388722 0.347064 -0.0315046 0.00347028 0.999498 0.426715 0 0 0 1 
36535719080037;0.0919718;0.403551;10;0.995025 0.0419611 0.090357 -0.706949 -0.0427008 0.999068 0.00626872 0.177361 -0.0900098 -0.0100959 0.99589 0.0947835 0 0 0 1 
36535719080038;0.581548;1.06625;20;0.990306 -0.0223298 0.137097 -2.59645 0.0164315 0.998896 0.0440049 0.156693 -0.137928 -0.0413256 0.98958 0.712225 0 0 0 1 
36535719080039;0.434512;0.480256;14;0.989464 0.118777 0.0827799 -1.31945 -0.114848 0.992087 -0.0507309 0.866219 -0.0881505 0.0406894 0.995276 -0.550225 0 0 0 1 
36535719080040;0.566995;1.08981;15;0.946887 -0.00920051 0.321436 -1.30166 -0.0341328 0.991068 0.128916 0.406225 -0.319751 -0.13304 0.938115 0.462569 0 0 0 1 
36535719080041;0.142283;0.511082;13;0.99079 0.117265 0.0677058 -0.800707 -0.117573 0.993064 0.00055751 0.724679 -0.0671708 -0.00851273 0.997705 -0.103109 0 0 0 1 
36535719080042;0.307724;0.564381;14;0.998518 -0.0391282 -0.0378344 -0.977096 0.029238 0.971915 -0.233508 -0.0351942 0.0459086 0.232056 0.971618 -0.183758 0 0 0 1 
36535719080043;0.210302;0.891863;15;0.973706 0.027273 0.22617 -1.5876 -0.0616634 0.987299 0.146419 0.45337 -0.219304 -0.156515 0.963021 0.566368 0 0 0 1 
36535719080044;0.594242;1.16411;19;0.999262 -0.0241153 0.0298963 -1.85553 0.0196488 0.989729 0.141601 -0.505156 -0.0330039 -0.140909 0.989472 0.361168 0 0 0 1 
36535719080045;0.55307;0.511264;17;0.981374 0.179614 0.0681429 -1.55545 -0.16786 0.974254 -0.150507 1.45807 -0.0934217 0.136266 0.986258 0.446852 0 0 0 1 
36535719080046;0.383937;0.588063;13;0.989489 0.102458 0.102047 -0.871108 -0.098987 0.994343 -0.038525 1.08649 -0.105417 0.0280187 0.994033 -0.387656 0 0 0 1 
36535719080047;0.507113;0.550125;10;0.99881 0.0224588 0.0432906 -0.649935 -0.0221989 0.999733 -0.00647494 -0.0872445 -0.0434244 0.00550623 0.999042 0.679086 0 0 0 1 
36535719080048;0.299943;0.938143;18;0.971167 0.00759099 0.23828 -1.61821 0.0695973 0.946926 -0.313826 0.32039 -0.228016 0.321361 0.919095 0.388199 0 0 0 1 
